Drug A,Drug B,Cell Line Name,Score
Vorinostat,Imatinib mesylate,OVCAR-8,-7.666666666666668
Vinblastine sulfate (hydrate),Paclitaxel,HOP-62,1.8888888888888888
Quinacrine hydrochloride,Tamoxifen citrate,RPMI-8226,1.7777777777777777
Vorinostat,Celecoxib,HS 578T,-1.6666666666666667
Dasatinib,Celecoxib,NCI-H522,8.0
Mitotane,Paclitaxel,OVCAR-8,-7.666666666666668
Vorinostat,Imatinib mesylate,UACC-62,-27.777777777777786
Vorinostat,Vinblastine sulfate (hydrate),MALME-3M,-10.222222222222221
Mitotane,Imatinib mesylate,K-562,-3.7777777777777777
Sorafenib tosylate,Dasatinib,HT29,1.2222222222222223
Vorinostat,Nilotinib,A549/ATCC,-11.666666666666664
Vinblastine sulfate (hydrate),Nilotinib,NCI-H322M,-3.888888888888889
Fulvestrant,Tamoxifen citrate,KM12,-12.777777777777779
Sorafenib tosylate,Sirolimus,UACC-257,2.888888888888889
Vinblastine sulfate (hydrate),Celecoxib,IGROV1,-7.4444444444444455
Vinblastine sulfate (hydrate),Romidepsin,OVCAR-4,-2.2222222222222223
Everolimus,Paclitaxel,LOX IMVI,-11.777777777777779
Sorafenib tosylate,Sirolimus,KM12,5.4444444444444455
Paclitaxel,Cladribine,SK-MEL-28,-10.222222222222221
Docetaxel,Fulvestrant,SW-620,13.777777777777779
Vinblastine sulfate (hydrate),Vorinostat,HCT-15,-10.111111111111107
Sorafenib tosylate,Imatinib mesylate,CAKI-1,-11.333333333333336
Romidepsin,Paclitaxel,SK-MEL-28,1.4444444444444444
Mitotane,Everolimus,MDA-MB-231/ATCC,7.222222222222222
Vorinostat,Celecoxib,KM12,-0.2222222222222222
Quinacrine hydrochloride,Paclitaxel,T-47D,-5.0
Fulvestrant,Celecoxib,SF-539,-3.333333333333333
Quinacrine hydrochloride,Tretinoin,HCT-15,-5.222222222222221
Vinblastine sulfate (hydrate),Nilotinib,IGROV1,-1.7777777777777777
Mitotane,Sirolimus,HOP-62,-10.555555555555557
Everolimus,Cladribine,PC-3,-2.333333333333333
Romidepsin,Docetaxel,UACC-257,2.6666666666666665
Sorafenib tosylate,Paclitaxel,A498,23.0
Sirolimus,Nilotinib,MDA-MB-231/ATCC,-14.555555555555555
Vinblastine sulfate (hydrate),Sirolimus,SK-OV-3,0.4444444444444444
Docetaxel,Paclitaxel,KM12,-3.0
Sorafenib tosylate,Imatinib mesylate,HS 578T,-6.4444444444444455
Quinacrine hydrochloride,Mitotane,K-562,-6.0
Docetaxel,Tretinoin,NCI-H522,21.22222222222221
Sorafenib tosylate,Tamoxifen citrate,BT-549,-6.666666666666668
Paclitaxel,Imatinib mesylate,DU-145,25.0
Dasatinib,Nilotinib,SF-268,-10.0
Sorafenib tosylate,Imatinib mesylate,HOP-92,-13.333333333333336
Sorafenib tosylate,Sirolimus,HOP-62,-0.6666666666666666
Docetaxel,Nilotinib,HT29,20.22222222222221
Fulvestrant,Tretinoin,LOX IMVI,8.11111111111111
Tamoxifen citrate,Tretinoin,OVCAR-3,-6.4444444444444455
Romidepsin,Paclitaxel,MDA-MB-231/ATCC,1.5555555555555556
Vorinostat,Nilotinib,NCI-H522,-21.88888888888889
Dasatinib,Tretinoin,MALME-3M,-0.3333333333333333
Sorafenib tosylate,Vorinostat,HCT-116,-6.333333333333332
Docetaxel,Cladribine,PC-3,-5.5555555555555545
Mitotane,Paclitaxel,HOP-62,-5.4444444444444455
Everolimus,Romidepsin,HS 578T,1.1111111111111112
Mitotane,Tamoxifen citrate,A549/ATCC,-7.222222222222222
Sorafenib tosylate,Tamoxifen citrate,CAKI-1,-15.777777777777779
Paclitaxel,Tretinoin,OVCAR-4,9.555555555555557
Vinblastine sulfate (hydrate),Celecoxib,PC-3,-1.0
Nilotinib,Tretinoin,SF-268,-5.5555555555555545
Quinacrine hydrochloride,Cladribine,HT29,-1.8888888888888888
Everolimus,Tamoxifen citrate,HS 578T,1.2222222222222223
Fulvestrant,Paclitaxel,K-562,-5.4444444444444455
Mitotane,Dasatinib,SK-OV-3,1.6666666666666667
Romidepsin,Imatinib mesylate,HL-60(TB),-13.888888888888893
Fulvestrant,Cladribine,NCI-H322M,-6.5555555555555545
Fulvestrant,Tamoxifen citrate,RPMI-8226,0.0
Docetaxel,Sirolimus,RPMI-8226,4.5555555555555545
Vinblastine sulfate (hydrate),Tretinoin,T-47D,-7.1111111111111125
Nilotinib,Tamoxifen citrate,T-47D,-9.111111111111107
Quinacrine hydrochloride,Paclitaxel,KM12,-1.6666666666666667
Dasatinib,Sirolimus,A549/ATCC,0.2222222222222222
Fulvestrant,Paclitaxel,CAKI-1,-6.222222222222222
Mitotane,Paclitaxel,NCI-H460,-1.6666666666666667
Everolimus,Nilotinib,SK-MEL-28,-41.333333333333336
Docetaxel,Tamoxifen citrate,A549/ATCC,21.444444444444443
Thalidomide,Cladribine,LOX IMVI,-9.0
Thalidomide,Vinblastine sulfate (hydrate),HS 578T,4.111111111111111
Vinblastine sulfate (hydrate),Dasatinib,HT29,-2.555555555555556
Thalidomide,Vinblastine sulfate (hydrate),SK-MEL-28,-2.555555555555556
Imatinib mesylate,Celecoxib,SF-268,-10.111111111111107
Mitotane,Docetaxel,SK-MEL-5,3.4444444444444446
Mitotane,Nilotinib,NCI-H460,-1.1111111111111112
Paclitaxel,Imatinib mesylate,UO-31,3.555555555555556
Quinacrine hydrochloride,Mitotane,HOP-92,-5.111111111111111
Romidepsin,Imatinib mesylate,NCI-H322M,-32.77777777777778
Tretinoin,Cladribine,ACHN,-1.7777777777777777
Sorafenib tosylate,Tretinoin,T-47D,-1.6666666666666667
Imatinib mesylate,Tretinoin,IGROV1,-4.2222222222222205
Tamoxifen citrate,Cladribine,OVCAR-4,-2.333333333333333
Romidepsin,Celecoxib,MDA-MB-231/ATCC,9.666666666666666
Thalidomide,Cladribine,NCI-H23,-13.555555555555555
Fulvestrant,Dasatinib,OVCAR-3,5.666666666666668
Nilotinib,Cladribine,SK-OV-3,-1.0
Docetaxel,Nilotinib,NCI-H460,8.777777777777779
Sorafenib tosylate,Imatinib mesylate,IGROV1,-4.666666666666667
Thalidomide,Mitotane,HOP-92,-4.2222222222222205
Sorafenib tosylate,Dasatinib,A498,-8.333333333333334
Vinblastine sulfate (hydrate),Nilotinib,MDA-MB-231/ATCC,-1.6666666666666667
Mitotane,Cladribine,ACHN,3.333333333333333
Paclitaxel,Tamoxifen citrate,OVCAR-8,22.33333333333333
Everolimus,Tretinoin,HT29,-4.888888888888889
Docetaxel,Nilotinib,SF-539,27.11111111111111
Sorafenib tosylate,Cladribine,OVCAR-8,-3.7777777777777777
Imatinib mesylate,Cladribine,MDA-MB-435,-1.6666666666666667
Everolimus,Tamoxifen citrate,MDA-MB-468,8.333333333333334
Fulvestrant,Sirolimus,HOP-62,-1.8888888888888888
Mitotane,Everolimus,NCI-H226,-8.0
Thalidomide,Vinblastine sulfate (hydrate),UACC-257,-3.333333333333333
Vinblastine sulfate (hydrate),Romidepsin,DU-145,-4.666666666666667
Docetaxel,Nilotinib,RPMI-8226,16.11111111111111
Thalidomide,Docetaxel,HCT-15,-0.1111111111111111
Romidepsin,Imatinib mesylate,NCI-H226,-1.5555555555555556
Imatinib mesylate,Tretinoin,HT29,-4.0
Vinblastine sulfate (hydrate),Nilotinib,UO-31,-3.555555555555556
Sorafenib tosylate,Celecoxib,DU-145,1.4444444444444444
Fulvestrant,Vorinostat,UACC-62,1.4444444444444444
Romidepsin,Nilotinib,NCI-H322M,-40.888888888888886
Quinacrine hydrochloride,Mitotane,A549/ATCC,0.7777777777777778
Everolimus,Tamoxifen citrate,HT29,-5.4444444444444455
Everolimus,Vorinostat,K-562,-4.888888888888889
Thalidomide,Mitotane,HL-60(TB),-0.2222222222222222
Nilotinib,Imatinib mesylate,K-562,-3.555555555555556
Paclitaxel,Tretinoin,KM12,19.22222222222221
Imatinib mesylate,Tamoxifen citrate,A498,-7.1111111111111125
Mitotane,Everolimus,K-562,7.555555555555554
Quinacrine hydrochloride,Paclitaxel,A498,-5.222222222222221
Romidepsin,Tretinoin,DU-145,-3.0
Fulvestrant,Celecoxib,OVCAR-4,-6.1111111111111125
Everolimus,Tretinoin,SF-268,-2.6666666666666665
Mitotane,Sirolimus,HL-60(TB),-1.1111111111111112
Paclitaxel,Celecoxib,OVCAR-4,11.888888888888893
Vinblastine sulfate (hydrate),Imatinib mesylate,HL-60(TB),-0.3333333333333333
Sorafenib tosylate,Sirolimus,U251,-9.333333333333334
Vorinostat,Vinblastine sulfate (hydrate),UO-31,0.0
Vinblastine sulfate (hydrate),Cladribine,UO-31,-1.8888888888888888
Dasatinib,Tamoxifen citrate,MALME-3M,-7.555555555555554
Quinacrine hydrochloride,Sirolimus,PC-3,0.1111111111111111
Fulvestrant,Everolimus,EKVX,-6.888888888888888
Thalidomide,Sirolimus,U251,-1.3333333333333333
Sirolimus,Imatinib mesylate,OVCAR-3,-10.333333333333334
Sirolimus,Vinblastine sulfate (hydrate),NCI-H460,-0.6666666666666666
Vinblastine sulfate (hydrate),Cladribine,HT29,-3.555555555555556
Nilotinib,Tretinoin,OVCAR-4,-8.888888888888891
Docetaxel,Paclitaxel,UO-31,-2.0
Docetaxel,Imatinib mesylate,HL-60(TB),19.777777777777786
Romidepsin,Sirolimus,DU-145,-4.4444444444444455
Vorinostat,Docetaxel,RPMI-8226,-1.0
Sirolimus,Imatinib mesylate,EKVX,-4.888888888888889
Vorinostat,Cladribine,KM12,-1.4444444444444444
Mitotane,Docetaxel,CAKI-1,2.4444444444444446
Romidepsin,Sirolimus,UACC-62,-6.888888888888888
Romidepsin,Paclitaxel,NCI-H226,2.1111111111111107
Mitotane,Everolimus,UO-31,13.111111111111107
Paclitaxel,Tretinoin,T-47D,5.666666666666668
Vinblastine sulfate (hydrate),Imatinib mesylate,SF-268,-5.111111111111111
Vinblastine sulfate (hydrate),Nilotinib,SW-620,0.3333333333333333
Tamoxifen citrate,Cladribine,LOX IMVI,-2.2222222222222223
Fulvestrant,Tamoxifen citrate,NCI-H23,-3.2222222222222223
Dasatinib,Romidepsin,BT-549,-2.7777777777777777
Thalidomide,Sirolimus,ACHN,-2.555555555555556
Sorafenib tosylate,Cladribine,NCI-H322M,-19.0
Dasatinib,Tretinoin,T-47D,-1.8888888888888888
Fulvestrant,Everolimus,SF-268,14.666666666666664
Vinblastine sulfate (hydrate),Cladribine,SK-OV-3,-6.888888888888888
Vinblastine sulfate (hydrate),Imatinib mesylate,SF-295,-3.6666666666666665
Docetaxel,Paclitaxel,OVCAR-3,-10.0
Everolimus,Docetaxel,SF-539,7.777777777777778
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),OVCAR-3,-12.666666666666664
Dasatinib,Nilotinib,DU-145,-11.888888888888893
Fulvestrant,Paclitaxel,U251,-1.6666666666666667
Thalidomide,Mitotane,MCF7,-0.7777777777777778
Tamoxifen citrate,Celecoxib,DU-145,-2.333333333333333
Quinacrine hydrochloride,Paclitaxel,SK-MEL-5,-12.555555555555555
Fulvestrant,Imatinib mesylate,SK-MEL-5,-3.111111111111111
Vinblastine sulfate (hydrate),Sirolimus,UACC-62,-0.5555555555555556
Fulvestrant,Nilotinib,MDA-MB-231/ATCC,-6.666666666666668
Vinblastine sulfate (hydrate),Vorinostat,HOP-92,-3.0
Romidepsin,Imatinib mesylate,NCI-H460,1.8888888888888888
Fulvestrant,Tamoxifen citrate,HCT-15,2.7777777777777777
Fulvestrant,Tretinoin,NCI-H226,-0.4444444444444444
Thalidomide,Docetaxel,SW-620,-6.4444444444444455
Quinacrine hydrochloride,Sirolimus,U251,0.6666666666666666
Nilotinib,Cladribine,UACC-257,-1.4444444444444444
Sorafenib tosylate,Sirolimus,UO-31,-8.333333333333334
Docetaxel,Celecoxib,A549/ATCC,10.444444444444443
Vorinostat,Imatinib mesylate,A549/ATCC,-13.222222222222221
Nilotinib,Mitotane,DU-145,-8.11111111111111
Vorinostat,Sirolimus,MALME-3M,1.7777777777777777
Vinblastine sulfate (hydrate),Nilotinib,MALME-3M,-6.4444444444444455
Fulvestrant,Dasatinib,T-47D,0.4444444444444444
Quinacrine hydrochloride,Mitotane,T-47D,1.5555555555555556
Tretinoin,Cladribine,UO-31,-3.888888888888889
Paclitaxel,Sirolimus,HT29,-17.11111111111111
Sorafenib tosylate,Imatinib mesylate,MCF7,-8.555555555555555
Vorinostat,Romidepsin,RPMI-8226,9.555555555555557
Paclitaxel,Imatinib mesylate,HS 578T,15.333333333333336
Dasatinib,Imatinib mesylate,HCT-116,-1.1111111111111112
Quinacrine hydrochloride,Sirolimus,SK-MEL-28,-4.111111111111111
Sorafenib tosylate,Celecoxib,SK-MEL-28,-2.333333333333333
Romidepsin,Vinblastine sulfate (hydrate),IGROV1,2.888888888888889
Romidepsin,Sirolimus,SK-MEL-5,1.7777777777777777
Dasatinib,Romidepsin,NCI-H322M,-4.666666666666667
Quinacrine hydrochloride,Tretinoin,SF-539,3.4444444444444446
Mitotane,Nilotinib,T-47D,-8.444444444444445
Vinblastine sulfate (hydrate),Tretinoin,HT29,3.0
Vinblastine sulfate (hydrate),Vorinostat,EKVX,-3.888888888888889
Dasatinib,Vorinostat,OVCAR-3,6.777777777777778
Vinblastine sulfate (hydrate),Cladribine,OVCAR-3,0.1111111111111111
Sirolimus,Tretinoin,MDA-MB-468,16.11111111111111
Nilotinib,Imatinib mesylate,MDA-MB-468,-10.222222222222221
Sirolimus,Vinblastine sulfate (hydrate),A498,-1.1111111111111112
Nilotinib,Vinblastine sulfate (hydrate),SF-295,-6.666666666666668
Everolimus,Cladribine,UACC-257,-3.555555555555556
Fulvestrant,Imatinib mesylate,HCT-116,-3.6666666666666665
Docetaxel,Nilotinib,SF-268,-12.777777777777779
Fulvestrant,Imatinib mesylate,UO-31,-11.0
Mitotane,Nilotinib,OVCAR-4,-6.333333333333332
Fulvestrant,Romidepsin,HT29,3.555555555555556
Nilotinib,Cladribine,SF-539,-4.2222222222222205
Nilotinib,Cladribine,LOX IMVI,-7.222222222222222
Mitotane,Tretinoin,BT-549,-2.888888888888889
Tretinoin,Cladribine,HS 578T,6.666666666666668
Sirolimus,Tamoxifen citrate,RPMI-8226,9.0
Sorafenib tosylate,Sirolimus,ACHN,-11.0
Dasatinib,Tretinoin,HCT-116,5.0
Tamoxifen citrate,Tretinoin,PC-3,-3.6666666666666665
Sirolimus,Tamoxifen citrate,A498,-5.666666666666668
Vinblastine sulfate (hydrate),Cladribine,T-47D,-12.111111111111107
Everolimus,Celecoxib,SW-620,-2.0
Dasatinib,Tamoxifen citrate,PC-3,6.0
Sirolimus,Tamoxifen citrate,KM12,-1.6666666666666667
Tretinoin,Celecoxib,PC-3,-2.7777777777777777
Fulvestrant,Sirolimus,NCI-H460,-2.555555555555556
Fulvestrant,Tamoxifen citrate,UACC-257,0.3333333333333333
Mitotane,Imatinib mesylate,EKVX,-6.5555555555555545
Romidepsin,Celecoxib,NCI-H522,-2.7777777777777777
Everolimus,Docetaxel,KM12,0.1111111111111111
Quinacrine hydrochloride,Tamoxifen citrate,SK-OV-3,-1.1111111111111112
Sirolimus,Nilotinib,ACHN,-5.333333333333333
Quinacrine hydrochloride,Mitotane,SK-MEL-5,-1.2222222222222223
Mitotane,Sirolimus,T-47D,-0.1111111111111111
Fulvestrant,Sirolimus,SK-MEL-28,-3.555555555555556
Thalidomide,Mitotane,OVCAR-4,-3.888888888888889
Everolimus,Tamoxifen citrate,SF-268,-1.7777777777777777
Romidepsin,Tamoxifen citrate,T-47D,2.6666666666666665
Quinacrine hydrochloride,Tamoxifen citrate,LOX IMVI,-1.5555555555555556
Imatinib mesylate,Celecoxib,IGROV1,-5.888888888888888
Vorinostat,Docetaxel,IGROV1,0.0
Tamoxifen citrate,Celecoxib,SK-MEL-5,-0.2222222222222222
Sorafenib tosylate,Vorinostat,K-562,-15.444444444444445
Vinblastine sulfate (hydrate),Everolimus,SF-539,-2.888888888888889
Fulvestrant,Dasatinib,UACC-257,0.5555555555555556
Paclitaxel,Tamoxifen citrate,PC-3,10.777777777777779
Fulvestrant,Everolimus,OVCAR-3,13.888888888888893
Fulvestrant,Nilotinib,NCI-H460,-1.8888888888888888
Mitotane,Tamoxifen citrate,T-47D,-8.333333333333334
Docetaxel,Celecoxib,DU-145,13.666666666666664
Nilotinib,Imatinib mesylate,ACHN,-16.444444444444443
Sorafenib tosylate,Imatinib mesylate,A549/ATCC,-8.666666666666666
Mitotane,Dasatinib,UO-31,2.888888888888889
Vinblastine sulfate (hydrate),Cladribine,SF-268,-5.777777777777778
Fulvestrant,Nilotinib,OVCAR-3,1.5555555555555556
Quinacrine hydrochloride,Tamoxifen citrate,HS 578T,-0.2222222222222222
Vorinostat,Paclitaxel,MDA-MB-231/ATCC,-4.4444444444444455
Quinacrine hydrochloride,Tamoxifen citrate,UACC-62,0.4444444444444444
Sorafenib tosylate,Tamoxifen citrate,MALME-3M,-0.5555555555555556
Thalidomide,Tretinoin,SK-MEL-28,-9.111111111111107
Quinacrine hydrochloride,Tretinoin,ACHN,-2.1111111111111107
Sorafenib tosylate,Celecoxib,HOP-92,-9.111111111111107
Fulvestrant,Romidepsin,HCT-116,-0.2222222222222222
Sorafenib tosylate,Romidepsin,SW-620,-9.111111111111107
Romidepsin,Tretinoin,A549/ATCC,15.0
Sirolimus,Tretinoin,OVCAR-3,-2.4444444444444446
Mitotane,Sirolimus,EKVX,-4.111111111111111
Sorafenib tosylate,Tretinoin,PC-3,4.888888888888889
Everolimus,Tamoxifen citrate,BT-549,3.111111111111111
Vinblastine sulfate (hydrate),Cladribine,SK-MEL-5,5.333333333333333
Quinacrine hydrochloride,Tamoxifen citrate,HCT-15,-4.111111111111111
Dasatinib,Vorinostat,A498,0.0
Vinblastine sulfate (hydrate),Dasatinib,OVCAR-8,0.7777777777777778
Vorinostat,Romidepsin,A498,-9.111111111111107
Vorinostat,Sirolimus,A549/ATCC,-2.1111111111111107
Vinblastine sulfate (hydrate),Everolimus,PC-3,3.555555555555556
Thalidomide,Tamoxifen citrate,KM12,-2.333333333333333
Thalidomide,Sirolimus,HCT-15,-1.5555555555555556
Vinblastine sulfate (hydrate),Cladribine,EKVX,-4.5555555555555545
Dasatinib,Tamoxifen citrate,OVCAR-4,2.1111111111111107
Fulvestrant,Dasatinib,SK-MEL-28,3.6666666666666665
Vinblastine sulfate (hydrate),Nilotinib,HOP-92,-5.888888888888888
Tretinoin,Cladribine,NCI-H322M,-3.0
Sorafenib tosylate,Vorinostat,MDA-MB-231/ATCC,-4.5555555555555545
Thalidomide,Tretinoin,SK-OV-3,-3.888888888888889
Sirolimus,Nilotinib,RPMI-8226,10.777777777777779
Sorafenib tosylate,Docetaxel,DU-145,12.222222222222221
Fulvestrant,Nilotinib,NCI-H23,-8.888888888888891
Docetaxel,Celecoxib,IGROV1,8.444444444444445
Thalidomide,Tamoxifen citrate,EKVX,-5.666666666666668
Imatinib mesylate,Celecoxib,SK-MEL-28,-9.444444444444443
Sirolimus,Tamoxifen citrate,HOP-92,-7.666666666666668
Sorafenib tosylate,Tamoxifen citrate,NCI-H23,-9.0
Vinblastine sulfate (hydrate),Romidepsin,MALME-3M,-2.333333333333333
Thalidomide,Cladribine,NCI-H522,-1.5555555555555556
Nilotinib,Mitotane,LOX IMVI,-4.2222222222222205
Quinacrine hydrochloride,Docetaxel,CAKI-1,-25.0
Fulvestrant,Celecoxib,A549/ATCC,-5.0
Fulvestrant,Celecoxib,NCI-H522,-1.4444444444444444
Thalidomide,Mitotane,NCI-H522,-5.333333333333333
Vorinostat,Paclitaxel,NCI-H226,-12.222222222222221
Vinblastine sulfate (hydrate),Tamoxifen citrate,SW-620,10.555555555555557
Sorafenib tosylate,Vorinostat,CAKI-1,-2.555555555555556
Paclitaxel,Cladribine,SW-620,-2.0
Romidepsin,Celecoxib,BT-549,3.333333333333333
Dasatinib,Tretinoin,LOX IMVI,-6.4444444444444455
Vorinostat,Romidepsin,PC-3,-0.2222222222222222
Tamoxifen citrate,Cladribine,BT-549,0.4444444444444444
Quinacrine hydrochloride,Cladribine,RPMI-8226,-4.666666666666667
Vorinostat,Docetaxel,LOX IMVI,-3.7777777777777777
Thalidomide,Tamoxifen citrate,MDA-MB-435,-3.6666666666666665
Vorinostat,Tamoxifen citrate,HL-60(TB),-19.555555555555557
Sorafenib tosylate,Romidepsin,NCI-H23,-2.555555555555556
Dasatinib,Vorinostat,OVCAR-4,-9.444444444444443
Mitotane,Imatinib mesylate,SF-295,-1.6666666666666667
Fulvestrant,Nilotinib,CAKI-1,-8.11111111111111
Sorafenib tosylate,Paclitaxel,A549/ATCC,18.22222222222221
Sirolimus,Imatinib mesylate,HOP-92,-12.222222222222221
Mitotane,Dasatinib,T-47D,-7.4444444444444455
Tamoxifen citrate,Celecoxib,HOP-92,-3.7777777777777777
Fulvestrant,Tamoxifen citrate,U251,-0.6666666666666666
Thalidomide,Tamoxifen citrate,ACHN,-2.4444444444444446
Paclitaxel,Imatinib mesylate,KM12,14.555555555555555
Everolimus,Imatinib mesylate,SW-620,-6.4444444444444455
Dasatinib,Romidepsin,MALME-3M,-2.333333333333333
Docetaxel,Vinblastine sulfate (hydrate),MALME-3M,-7.4444444444444455
Fulvestrant,Nilotinib,SF-539,1.2222222222222223
Imatinib mesylate,Tamoxifen citrate,NCI-H322M,-1.7777777777777777
Sorafenib tosylate,Tretinoin,NCI-H226,12.666666666666664
Sorafenib tosylate,Paclitaxel,MALME-3M,9.777777777777779
Sirolimus,Tretinoin,K-562,4.777777777777779
Sorafenib tosylate,Docetaxel,UACC-62,18.777777777777786
Mitotane,Docetaxel,UO-31,-4.777777777777779
Vinblastine sulfate (hydrate),Everolimus,LOX IMVI,-8.888888888888891
Dasatinib,Romidepsin,MDA-MB-468,-1.3333333333333333
Fulvestrant,Dasatinib,HOP-92,-4.2222222222222205
Tamoxifen citrate,Tretinoin,UACC-257,-2.888888888888889
Everolimus,Tretinoin,NCI-H522,-2.555555555555556
Nilotinib,Vinblastine sulfate (hydrate),HL-60(TB),3.6666666666666665
Sorafenib tosylate,Imatinib mesylate,U251,-10.666666666666666
Sirolimus,Mitotane,OVCAR-3,-7.666666666666668
Mitotane,Cladribine,HOP-62,-2.2222222222222223
Mitotane,Tretinoin,EKVX,3.6666666666666665
Thalidomide,Tamoxifen citrate,NCI-H23,-2.4444444444444446
Quinacrine hydrochloride,Cladribine,UACC-257,-9.222222222222221
Vinblastine sulfate (hydrate),Tamoxifen citrate,PC-3,8.666666666666666
Thalidomide,Paclitaxel,SW-620,-1.7777777777777777
Everolimus,Docetaxel,SW-620,2.555555555555556
Romidepsin,Celecoxib,OVCAR-8,-1.0
Everolimus,Nilotinib,UACC-257,-11.888888888888893
Thalidomide,Sirolimus,SF-268,-2.4444444444444446
Vorinostat,Nilotinib,NCI-H322M,-29.555555555555557
Nilotinib,Celecoxib,OVCAR-4,-4.5555555555555545
Sirolimus,Nilotinib,HL-60(TB),-15.777777777777779
Cladribine,Celecoxib,OVCAR-4,-4.888888888888889
Quinacrine hydrochloride,Sirolimus,NCI-H322M,-3.2222222222222223
Quinacrine hydrochloride,Sirolimus,NCI-H226,3.2222222222222223
Mitotane,Paclitaxel,UACC-62,0.4444444444444444
Everolimus,Paclitaxel,HT29,9.111111111111107
Nilotinib,Cladribine,PC-3,-2.6666666666666665
Vinblastine sulfate (hydrate),Paclitaxel,OVCAR-4,-1.7777777777777777
Fulvestrant,Sirolimus,NCI-H23,-5.111111111111111
Tretinoin,Cladribine,NCI-H522,-0.5555555555555556
Fulvestrant,Everolimus,SK-MEL-28,19.555555555555557
Sirolimus,Tamoxifen citrate,T-47D,1.6666666666666667
Tretinoin,Celecoxib,OVCAR-4,1.4444444444444444
