Drug A,Drug B,Cell Line Name,Score
Vinblastine sulfate (hydrate),Dasatinib,HL-60(TB),0.0
Sirolimus,Nilotinib,PC-3,-13.666666666666664
Quinacrine hydrochloride,Sirolimus,HCT-116,3.888888888888889
Romidepsin,Tamoxifen citrate,OVCAR-4,5.777777777777778
Dasatinib,Sirolimus,U251,3.6666666666666665
Everolimus,Tamoxifen citrate,UACC-257,-6.5555555555555545
Docetaxel,Fulvestrant,UACC-62,3.333333333333333
Docetaxel,Nilotinib,KM12,18.11111111111111
Everolimus,Sirolimus,UACC-257,-5.111111111111111
Sirolimus,Tretinoin,HCT-116,-1.2222222222222223
Vinblastine sulfate (hydrate),Vorinostat,NCI-H322M,-1.2222222222222223
Romidepsin,Docetaxel,UO-31,-1.3333333333333333
Mitotane,Celecoxib,U251,-1.4444444444444444
Dasatinib,Cladribine,RPMI-8226,-8.555555555555555
Mitotane,Tamoxifen citrate,UO-31,-2.2222222222222223
Romidepsin,Nilotinib,UO-31,-6.0
Fulvestrant,Sirolimus,SW-620,-1.2222222222222223
Vorinostat,Vinblastine sulfate (hydrate),DU-145,0.7777777777777778
Vorinostat,Paclitaxel,MALME-3M,-9.222222222222221
Everolimus,Tamoxifen citrate,UACC-62,2.4444444444444446
Quinacrine hydrochloride,Docetaxel,NCI-H23,-5.5555555555555545
Fulvestrant,Sirolimus,A498,-2.0
Vorinostat,Vinblastine sulfate (hydrate),K-562,1.4444444444444444
Everolimus,Cladribine,SF-539,-2.333333333333333
Gefitinib,Lenalidomide,DU-145,-4.111111111111111
Docetaxel,Tretinoin,SF-539,32.22222222222222
Nilotinib,Mitotane,MDA-MB-468,-4.2222222222222205
Quinacrine hydrochloride,Mitotane,NCI-H460,-1.6666666666666667
Vorinostat,Cladribine,UACC-257,-3.111111111111111
Sorafenib tosylate,Vorinostat,MDA-MB-435,-2.555555555555556
Everolimus,Docetaxel,MCF7,2.2222222222222223
Sirolimus,Vinblastine sulfate (hydrate),NCI-H522,-3.0
Vinblastine sulfate (hydrate),Cladribine,KM12,0.7777777777777778
Dasatinib,Romidepsin,IGROV1,-5.0
Sirolimus,Vinblastine sulfate (hydrate),HCT-116,-2.0
Everolimus,Nilotinib,NCI-H322M,-5.777777777777778
Everolimus,Celecoxib,HCT-15,-3.111111111111111
Sirolimus,Nilotinib,UACC-257,-4.4444444444444455
Sorafenib tosylate,Imatinib mesylate,OVCAR-3,-9.777777777777779
Vorinostat,Imatinib mesylate,SK-MEL-28,-29.11111111111111
Sirolimus,Imatinib mesylate,MCF7,-6.777777777777778
Sirolimus,Imatinib mesylate,A549/ATCC,-6.333333333333332
Fulvestrant,Imatinib mesylate,OVCAR-3,-7.333333333333332
Imatinib mesylate,Tamoxifen citrate,RPMI-8226,-2.2222222222222223
Everolimus,Romidepsin,HCT-116,-7.222222222222222
Paclitaxel,Sirolimus,A549/ATCC,3.4444444444444446
Sorafenib tosylate,Tretinoin,DU-145,15.222222222222221
Fulvestrant,Dasatinib,LOX IMVI,8.555555555555555
Gefitinib,Lenalidomide,EKVX,-2.1111111111111107
Docetaxel,Celecoxib,K-562,23.555555555555557
Dasatinib,Sirolimus,SK-MEL-28,0.3333333333333333
Vinblastine sulfate (hydrate),Romidepsin,HCT-15,-2.0
Sorafenib tosylate,Imatinib mesylate,SF-268,-11.444444444444445
Fulvestrant,Imatinib mesylate,MDA-MB-468,-4.111111111111111
Vorinostat,Tretinoin,MDA-MB-231/ATCC,-24.33333333333333
Sirolimus,Mitotane,DU-145,-1.1111111111111112
Vinblastine sulfate (hydrate),Cladribine,HCT-15,-2.888888888888889
Vinblastine sulfate (hydrate),Paclitaxel,IGROV1,-2.333333333333333
Vorinostat,Celecoxib,MDA-MB-231/ATCC,2.6666666666666665
Vinblastine sulfate (hydrate),Celecoxib,ACHN,-3.2222222222222223
Sorafenib tosylate,Dasatinib,NCI-H23,5.777777777777778
Quinacrine hydrochloride,Paclitaxel,SF-539,5.222222222222221
Quinacrine hydrochloride,Paclitaxel,HT29,-12.0
Romidepsin,Celecoxib,SK-MEL-28,-3.6666666666666665
Sorafenib tosylate,Tamoxifen citrate,ACHN,-0.2222222222222222
Fulvestrant,Tretinoin,UO-31,-1.6666666666666667
Mitotane,Docetaxel,K-562,14.111111111111107
Mitotane,Docetaxel,HT29,15.444444444444445
Mitotane,Celecoxib,ACHN,-3.111111111111111
Vinblastine sulfate (hydrate),Celecoxib,OVCAR-4,-3.888888888888889
Sirolimus,Tamoxifen citrate,SF-295,-4.4444444444444455
Dasatinib,Paclitaxel,MDA-MB-231/ATCC,-8.444444444444445
Docetaxel,Cladribine,SK-MEL-5,-5.111111111111111
Quinacrine hydrochloride,Sirolimus,EKVX,-5.0
Dasatinib,Tamoxifen citrate,UACC-62,-1.8888888888888888
Dasatinib,Nilotinib,NCI-H522,1.5555555555555556
Mitotane,Cladribine,SF-268,1.3333333333333333
Sirolimus,Nilotinib,EKVX,0.0
Vinblastine sulfate (hydrate),Tretinoin,K-562,6.888888888888888
Tretinoin,Celecoxib,HOP-92,2.555555555555556
Docetaxel,Vinblastine sulfate (hydrate),HT29,0.3333333333333333
Quinacrine hydrochloride,Tretinoin,EKVX,-7.333333333333332
Sorafenib tosylate,Dasatinib,MDA-MB-468,-0.1111111111111111
Mitotane,Docetaxel,UACC-257,0.3333333333333333
Paclitaxel,Nilotinib,LOX IMVI,3.333333333333333
Mitotane,Tamoxifen citrate,CAKI-1,-4.5555555555555545
Mitotane,Imatinib mesylate,A498,-7.333333333333332
Sirolimus,Celecoxib,A549/ATCC,3.0
Sirolimus,Vinblastine sulfate (hydrate),NCI-H23,-5.5555555555555545
Imatinib mesylate,Cladribine,SK-OV-3,-2.7777777777777777
Docetaxel,Imatinib mesylate,MALME-3M,-19.22222222222221
Paclitaxel,Cladribine,LOX IMVI,-4.111111111111111
Thalidomide,Paclitaxel,LOX IMVI,10.222222222222221
Docetaxel,Fulvestrant,HS 578T,3.6666666666666665
Gefitinib,Lenalidomide,HCT-15,-0.2222222222222222
Everolimus,Imatinib mesylate,MDA-MB-231/ATCC,-22.33333333333333
Quinacrine hydrochloride,Sirolimus,BT-549,1.0
Vinblastine sulfate (hydrate),Celecoxib,DU-145,1.0
Vinblastine sulfate (hydrate),Dasatinib,SK-MEL-5,-2.2222222222222223
Docetaxel,Cladribine,RPMI-8226,-3.888888888888889
Sirolimus,Celecoxib,NCI-H460,-1.4444444444444444
Romidepsin,Paclitaxel,SF-539,0.4444444444444444
Romidepsin,Vinblastine sulfate (hydrate),HS 578T,-2.888888888888889
Docetaxel,Sirolimus,OVCAR-4,3.555555555555556
Cladribine,Celecoxib,MALME-3M,-6.4444444444444455
Cladribine,Celecoxib,SK-MEL-28,-5.111111111111111
Fulvestrant,Nilotinib,SK-OV-3,-10.111111111111107
Mitotane,Tretinoin,MDA-MB-468,-0.6666666666666666
Sorafenib tosylate,Romidepsin,HCT-116,11.666666666666664
Gefitinib,Lenalidomide,OVCAR-4,-5.777777777777778
Tretinoin,Celecoxib,EKVX,1.3333333333333333
Everolimus,Docetaxel,HL-60(TB),-2.0
Vorinostat,Cladribine,MDA-MB-468,-3.333333333333333
Quinacrine hydrochloride,Paclitaxel,UACC-257,-8.666666666666666
Vinblastine sulfate (hydrate),Romidepsin,U251,-0.8888888888888888
Sirolimus,Celecoxib,SF-295,2.1111111111111107
Romidepsin,Imatinib mesylate,SK-MEL-5,-8.0
Everolimus,Vorinostat,NCI-H522,-6.777777777777778
Quinacrine hydrochloride,Docetaxel,SW-620,2.555555555555556
Romidepsin,Nilotinib,MDA-MB-231/ATCC,-4.888888888888889
Everolimus,Vorinostat,KM12,-8.555555555555555
Vinblastine sulfate (hydrate),Cladribine,PC-3,-1.4444444444444444
Tretinoin,Celecoxib,U251,-8.222222222222221
Romidepsin,Sirolimus,MALME-3M,0.2222222222222222
Mitotane,Cladribine,HL-60(TB),-10.888888888888893
Everolimus,Tretinoin,NCI-H226,-8.11111111111111
Sorafenib tosylate,Dasatinib,HCT-116,3.4444444444444446
Paclitaxel,Tretinoin,NCI-H460,32.111111111111114
Vorinostat,Cladribine,NCI-H460,-3.888888888888889
Sorafenib tosylate,Celecoxib,A498,-4.111111111111111
Vinblastine sulfate (hydrate),Tamoxifen citrate,HT29,18.666666666666668
Sirolimus,Tamoxifen citrate,HCT-116,-6.222222222222222
Quinacrine hydrochloride,Tamoxifen citrate,BT-549,-2.888888888888889
Gefitinib,Lenalidomide,UACC-257,0.1111111111111111
Quinacrine hydrochloride,Mitotane,KM12,-1.2222222222222223
Thalidomide,Paclitaxel,MCF7,-1.3333333333333333
Paclitaxel,Cladribine,BT-549,1.3333333333333333
Vinblastine sulfate (hydrate),Sirolimus,ACHN,-0.1111111111111111
Sorafenib tosylate,Paclitaxel,KM12,27.11111111111111
Paclitaxel,Celecoxib,MDA-MB-231/ATCC,23.222222222222207
Quinacrine hydrochloride,Mitotane,RPMI-8226,-0.8888888888888888
Romidepsin,Paclitaxel,DU-145,5.0
Cladribine,Celecoxib,ACHN,0.2222222222222222
Everolimus,Romidepsin,LOX IMVI,-1.6666666666666667
Mitotane,Nilotinib,UACC-257,-6.222222222222222
Quinacrine hydrochloride,Docetaxel,RPMI-8226,7.4444444444444455
Nilotinib,Mitotane,U251,-12.0
Sorafenib tosylate,Vorinostat,SK-OV-3,-4.888888888888889
Docetaxel,Cladribine,UACC-257,-4.111111111111111
Mitotane,Celecoxib,RPMI-8226,-9.222222222222221
Sorafenib tosylate,Docetaxel,HCT-116,17.555555555555557
Thalidomide,Vinblastine sulfate (hydrate),ACHN,-4.777777777777779
Mitotane,Everolimus,HCT-15,5.222222222222221
Vorinostat,Docetaxel,DU-145,-3.111111111111111
Tamoxifen citrate,Celecoxib,RPMI-8226,-2.4444444444444446
Sirolimus,Cladribine,RPMI-8226,-5.222222222222221
Quinacrine hydrochloride,Sirolimus,NCI-H23,-2.555555555555556
Everolimus,Celecoxib,RPMI-8226,5.333333333333333
Docetaxel,Paclitaxel,SK-MEL-28,0.3333333333333333
Fulvestrant,Tretinoin,UACC-257,1.2222222222222223
Vorinostat,Docetaxel,HS 578T,5.111111111111111
Tretinoin,Celecoxib,MDA-MB-435,-7.777777777777778
Fulvestrant,Cladribine,OVCAR-4,1.3333333333333333
Fulvestrant,Paclitaxel,A498,-1.7777777777777777
Nilotinib,Vinblastine sulfate (hydrate),NCI-H522,-6.888888888888888
Paclitaxel,Imatinib mesylate,NCI-H522,13.555555555555555
Vorinostat,Cladribine,NCI-H226,-1.5555555555555556
Fulvestrant,Tamoxifen citrate,DU-145,0.6666666666666666
Sirolimus,Tamoxifen citrate,NCI-H226,0.5555555555555556
Docetaxel,Cladribine,HT29,-9.444444444444443
Sirolimus,Mitotane,HOP-92,-6.5555555555555545
Docetaxel,Celecoxib,OVCAR-8,8.666666666666666
Sirolimus,Imatinib mesylate,MALME-3M,-12.555555555555555
Romidepsin,Tretinoin,KM12,1.2222222222222223
Romidepsin,Tretinoin,K-562,0.4444444444444444
Everolimus,Paclitaxel,NCI-H322M,-9.0
Sorafenib tosylate,Tamoxifen citrate,MCF7,-0.7777777777777778
Gefitinib,Lenalidomide,MDA-MB-231/ATCC,-1.3333333333333333
Vorinostat,Tamoxifen citrate,A498,-3.333333333333333
Romidepsin,Celecoxib,HL-60(TB),-17.0
Sorafenib tosylate,Imatinib mesylate,MDA-MB-468,-1.8888888888888888
Vinblastine sulfate (hydrate),Nilotinib,SK-OV-3,-14.0
Vorinostat,Tretinoin,KM12,-9.555555555555557
Fulvestrant,Celecoxib,UO-31,-4.4444444444444455
Sorafenib tosylate,Tretinoin,MALME-3M,0.4444444444444444
Fulvestrant,Cladribine,NCI-H23,-1.2222222222222223
Docetaxel,Paclitaxel,UACC-257,4.333333333333333
Romidepsin,Vinblastine sulfate (hydrate),NCI-H522,-1.0
Vinblastine sulfate (hydrate),Paclitaxel,SW-620,-5.777777777777778
Dasatinib,Docetaxel,NCI-H226,-3.6666666666666665
Fulvestrant,Vorinostat,HT29,1.1111111111111112
Mitotane,Paclitaxel,MDA-MB-435,-1.5555555555555556
Dasatinib,Imatinib mesylate,SF-539,4.666666666666667
Sirolimus,Vinblastine sulfate (hydrate),HS 578T,-4.5555555555555545
Docetaxel,Paclitaxel,SF-539,6.0
Everolimus,Dasatinib,K-562,-2.7777777777777777
Fulvestrant,Dasatinib,MDA-MB-468,-1.6666666666666667
Paclitaxel,Imatinib mesylate,SK-MEL-28,-2.888888888888889
Mitotane,Docetaxel,NCI-H522,19.555555555555557
Vinblastine sulfate (hydrate),Romidepsin,NCI-H522,3.0
Mitotane,Nilotinib,OVCAR-3,-6.333333333333332
Dasatinib,Romidepsin,HT29,1.1111111111111112
Everolimus,Imatinib mesylate,MDA-MB-468,-12.777777777777779
Vinblastine sulfate (hydrate),Tamoxifen citrate,MALME-3M,3.555555555555556
Docetaxel,Celecoxib,HT29,25.0
Sirolimus,Tamoxifen citrate,SF-268,1.5555555555555556
Sirolimus,Mitotane,PC-3,3.111111111111111
Mitotane,Docetaxel,T-47D,-7.555555555555554
Nilotinib,Tretinoin,IGROV1,-1.3333333333333333
Sorafenib tosylate,Romidepsin,MCF7,-1.2222222222222223
Mitotane,Tamoxifen citrate,MDA-MB-468,-5.5555555555555545
Vinblastine sulfate (hydrate),Paclitaxel,HT29,-1.2222222222222223
Vorinostat,Tamoxifen citrate,NCI-H322M,-16.0
Sorafenib tosylate,Celecoxib,T-47D,-2.1111111111111107
Romidepsin,Cladribine,LOX IMVI,-4.5555555555555545
Everolimus,Tretinoin,NCI-H460,-1.0
Paclitaxel,Sirolimus,BT-549,2.2222222222222223
Vinblastine sulfate (hydrate),Cladribine,BT-549,1.2222222222222223
Quinacrine hydrochloride,Sirolimus,LOX IMVI,-1.8888888888888888
Nilotinib,Tretinoin,NCI-H226,-0.3333333333333333
Vorinostat,Celecoxib,OVCAR-4,-2.0
Sorafenib tosylate,Celecoxib,A549/ATCC,-5.5555555555555545
Vinblastine sulfate (hydrate),Romidepsin,UACC-62,-0.4444444444444444
Mitotane,Celecoxib,SF-295,-2.0
Tretinoin,Cladribine,DU-145,-1.3333333333333333
Fulvestrant,Cladribine,U251,1.6666666666666667
Fulvestrant,Paclitaxel,UACC-62,-4.2222222222222205
Vinblastine sulfate (hydrate),Dasatinib,IGROV1,4.111111111111111
Sorafenib tosylate,Docetaxel,SK-OV-3,13.333333333333336
Mitotane,Everolimus,SF-295,-8.0
Sirolimus,Imatinib mesylate,SF-539,-1.7777777777777777
Vorinostat,Vinblastine sulfate (hydrate),LOX IMVI,-2.333333333333333
Nilotinib,Vinblastine sulfate (hydrate),BT-549,-2.888888888888889
Vinblastine sulfate (hydrate),Paclitaxel,T-47D,-9.777777777777779
Docetaxel,Tamoxifen citrate,OVCAR-4,30.44444444444445
Mitotane,Sirolimus,SF-539,-5.888888888888888
Everolimus,Paclitaxel,NCI-H522,11.888888888888893
Romidepsin,Sirolimus,IGROV1,-3.555555555555556
Vorinostat,Docetaxel,UACC-62,-7.666666666666668
Vorinostat,Sirolimus,LOX IMVI,0.4444444444444444
Romidepsin,Docetaxel,OVCAR-4,0.7777777777777778
Sirolimus,Cladribine,IGROV1,-6.777777777777778
Imatinib mesylate,Tretinoin,SK-MEL-28,1.8888888888888888
Imatinib mesylate,Tamoxifen citrate,MCF7,-11.444444444444445
Everolimus,Vorinostat,T-47D,-3.2222222222222223
Paclitaxel,Imatinib mesylate,MALME-3M,-10.777777777777779
Quinacrine hydrochloride,Docetaxel,A498,-8.777777777777779
Dasatinib,Paclitaxel,MALME-3M,-4.888888888888889
Docetaxel,Nilotinib,SK-MEL-5,-5.666666666666668
Everolimus,Romidepsin,A549/ATCC,0.3333333333333333
Quinacrine hydrochloride,Cladribine,ACHN,-0.3333333333333333
Cladribine,Celecoxib,UACC-62,-2.7777777777777777
Sirolimus,Vinblastine sulfate (hydrate),PC-3,0.7777777777777778
Paclitaxel,Tretinoin,SK-MEL-28,2.4444444444444446
Vinblastine sulfate (hydrate),Dasatinib,NCI-H226,-2.6666666666666665
Paclitaxel,Sirolimus,NCI-H226,0.8888888888888888
Sirolimus,Vinblastine sulfate (hydrate),SF-295,-9.222222222222221
Dasatinib,Docetaxel,K-562,7.666666666666668
Mitotane,Tamoxifen citrate,HL-60(TB),-20.444444444444443
Fulvestrant,Nilotinib,HL-60(TB),-5.0
Sirolimus,Cladribine,T-47D,-10.777777777777779
Vorinostat,Docetaxel,A498,-2.6666666666666665
Imatinib mesylate,Celecoxib,HS 578T,3.888888888888889
Vorinostat,Tamoxifen citrate,HS 578T,2.6666666666666665
Dasatinib,Docetaxel,OVCAR-3,-0.8888888888888888
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),KM12,-3.2222222222222223
Dasatinib,Paclitaxel,NCI-H322M,3.7777777777777777
Vorinostat,Vinblastine sulfate (hydrate),PC-3,-6.0
Dasatinib,Docetaxel,RPMI-8226,0.1111111111111111
Sorafenib tosylate,Docetaxel,KM12,17.11111111111111
Thalidomide,Cladribine,NCI-H322M,-4.4444444444444455
Vorinostat,Romidepsin,HCT-116,8.777777777777779
Vorinostat,Tretinoin,SF-268,-13.666666666666664
Thalidomide,Sirolimus,NCI-H522,2.2222222222222223
Nilotinib,Imatinib mesylate,EKVX,-8.666666666666666
Mitotane,Celecoxib,HOP-92,-5.666666666666668
Mitotane,Cladribine,MALME-3M,-11.0
Fulvestrant,Dasatinib,NCI-H23,-1.8888888888888888
Romidepsin,Paclitaxel,SW-620,4.0
Sirolimus,Imatinib mesylate,BT-549,-15.555555555555555
Nilotinib,Mitotane,HOP-92,-9.111111111111107
Thalidomide,Mitotane,EKVX,1.5555555555555556
Cladribine,Celecoxib,U251,-5.111111111111111
Sirolimus,Mitotane,MALME-3M,9.666666666666666
Sirolimus,Tretinoin,MDA-MB-231/ATCC,-1.2222222222222223
Sirolimus,Mitotane,IGROV1,14.666666666666664
Sorafenib tosylate,Tretinoin,CAKI-1,4.333333333333333
Fulvestrant,Imatinib mesylate,HOP-92,-4.111111111111111
Sorafenib tosylate,Everolimus,SF-539,-6.1111111111111125
Dasatinib,Paclitaxel,RPMI-8226,3.2222222222222223
Paclitaxel,Nilotinib,HL-60(TB),17.555555555555557
Docetaxel,Celecoxib,SK-MEL-28,14.222222222222221
Dasatinib,Tretinoin,NCI-H460,-1.8888888888888888
Tamoxifen citrate,Celecoxib,NCI-H460,-6.4444444444444455
Docetaxel,Tretinoin,K-562,27.0
Sorafenib tosylate,Nilotinib,A498,0.3333333333333333
Docetaxel,Fulvestrant,BT-549,0.5555555555555556
Fulvestrant,Celecoxib,NCI-H460,-4.5555555555555545
Everolimus,Imatinib mesylate,MALME-3M,-8.888888888888891
Sirolimus,Cladribine,EKVX,-2.2222222222222223
Docetaxel,Fulvestrant,NCI-H460,0.5555555555555556
Fulvestrant,Romidepsin,UACC-257,-1.5555555555555556
Sirolimus,Nilotinib,SF-268,-10.111111111111107
Vinblastine sulfate (hydrate),Celecoxib,HT29,-6.4444444444444455
Vorinostat,Tretinoin,T-47D,7.333333333333332
Everolimus,Tamoxifen citrate,HCT-116,-3.4444444444444446
Sorafenib tosylate,Paclitaxel,NCI-H460,6.888888888888888
Quinacrine hydrochloride,Tretinoin,LOX IMVI,-10.555555555555557
Paclitaxel,Nilotinib,UO-31,-5.666666666666668
Fulvestrant,Everolimus,NCI-H522,3.555555555555556
Romidepsin,Tamoxifen citrate,SF-268,-4.4444444444444455
Sorafenib tosylate,Tretinoin,OVCAR-3,2.0
Romidepsin,Docetaxel,SK-MEL-5,-1.4444444444444444
Sorafenib tosylate,Everolimus,ACHN,-11.0
Romidepsin,Nilotinib,LOX IMVI,-9.666666666666666
Sirolimus,Vinblastine sulfate (hydrate),LOX IMVI,0.4444444444444444
Everolimus,Sirolimus,U251,-4.5555555555555545
Vinblastine sulfate (hydrate),Sirolimus,A498,-5.5555555555555545
Cladribine,Celecoxib,HOP-92,-9.888888888888893
Everolimus,Cladribine,BT-549,-2.555555555555556
Sorafenib tosylate,Paclitaxel,NCI-H23,26.33333333333333
Mitotane,Cladribine,OVCAR-3,-3.2222222222222223
