geneID	geneSymbol	A498_KIDNEY	A549_LUNG	ACHN_KIDNEY	BT549_BREAST	CAKI1_KIDNEY	DU145_PROSTATE	EKVX_LUNG	HCT116_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HOP62_LUNG	HOP92_LUNG	HS578T_BREAST	HT29_LARGE_INTESTINE	IGROV1_OVARY	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KM12_LARGE_INTESTINE	LOXIMVI_SKIN	MALME3M_SKIN	MCF7_BREAST	MDAMB231_BREAST	MDAMB435S_SKIN	MDAMB468_BREAST	NCIH226_LUNG	NCIH23_LUNG	NCIH322_LUNG	NCIH460_LUNG	NCIH522_LUNG	NIHOVCAR3_OVARY	OVCAR4_OVARY	OVCAR8_OVARY	PC3_PROSTATE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SF268_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF539_CENTRAL_NERVOUS_SYSTEM	SKMEL28_SKIN	SKMEL5_SKIN	SKOV3_OVARY	SW620_LARGE_INTESTINE	T47D_BREAST	U251MG_CENTRAL_NERVOUS_SYSTEM	UACC257_SKIN	UACC62_SKIN	UO31_KIDNEY
ENSG00000006606.4	CCL26	33.98	6.12	0	0	0.72	0.49	5.44	0.34	5.9	0.11	11.29	0.56	7.19	0	0.07	1.55	0.11	0.12	0	0.06	8.12	0.44	0.2	7.99	0	0.27	0.09	0	0	4.43	0.84	3.75	0.12	0	51.37	0.88	0	0	5.73	0.72	0	3.56	0.08	0.57	2.35
ENSG00000006607.9	FARP2	9.52	14.15	22.86	15.76	7.19	11.55	27.34	24.93	31.46	3.19	14.4	10.48	21.33	30.24	20.02	10.42	17.4	10.82	94.1	13.56	11.9	23.74	15.17	15.26	20.22	9.13	16.97	28.67	17.22	8.76	12.62	7.95	17.07	16.39	13.11	14.68	114.85	110.43	32.44	12.42	6.02	11.42	108.13	105.03	11.58
ENSG00000006634.3	DBF4	18.87	30.76	43.23	51.54	13.13	53.74	24.65	59.85	56.82	15.92	28.21	29.62	26.14	33.04	35	49.72	31.96	33.01	38.22	26.12	32.5	19.15	25.27	27.15	44.9	13.17	25.69	35.08	23.32	38.03	68.45	20.15	45.96	21.36	57.85	11.02	25.19	41.13	9.88	30.59	15.41	19.53	35.42	34.69	27.34
ENSG00000006638.7	TBXA2R	2.37	0.46	0.25	4.05	0.8	2.08	1.21	1.07	0.04	0	0.38	2.31	2.48	0.01	0.15	8.24	0	2.96	2.98	0	1.19	3.41	0.28	2.18	1.56	0.01	1.95	1.49	0.36	0.01	1.56	1.07	0.12	2.92	0.48	6.76	0.01	0.55	0.09	0.13	0.79	1.27	1.65	2.99	0.66
ENSG00000006704.6	GTF2IRD1	47.43	6.02	64.07	28.54	26.3	15.21	29.37	16.44	26.38	6.31	15.73	40.99	19.03	24.46	23.89	19.89	17.32	18.71	10.15	16.31	18.85	7.83	24.75	20.11	3.53	4.26	21.44	37.86	25.75	15.07	17.27	11.47	6.28	21.97	30.51	17.83	5.85	8.86	31.05	49.65	18.56	16.53	7.57	11.96	33.67
ENSG00000006831.9	ADIPOR2	21.26	52.46	80.41	33.04	24.58	27.74	29.68	52.64	31.45	24.54	57.36	24.33	24.16	38.83	26.24	37.77	30.55	48.96	59.95	45.71	27.47	42.42	26.44	57.68	57.01	33.42	25.01	32.77	37.08	30.7	52.64	16.78	25.89	37.64	40.66	47.29	40.5	47.6	23.15	52.99	31.75	23.28	44.56	39.21	37.81
ENSG00000007171.12	NOS2	0.12	0.15	0.01	0.03	0	0.55	0.01	0	1.2	0	0.03	0.03	0	0	0	0.02	0	0	0.56	0.01	0	0.01	0.01	0.01	1.27	0.01	0.09	0.16	0.14	0.01	2.23	0	0	0.04	0.08	0	0.01	0.37	0.02	0.01	0.05	0.03	0.19	0.01	0
ENSG00000007264.9	MATK	1.07	0.08	0.99	0.11	0.16	0.32	0.13	0.05	0.04	52.84	0.19	0.14	0.02	0.19	1.36	21.75	0.06	0.05	0.35	8.26	0.05	0.23	0.05	5.64	18.24	0.07	0.03	5.89	0.68	1.69	0.55	0.03	0.17	0	0.05	0.3	1.18	6.19	10.02	0.03	0	0.1	0.39	5.05	1.19
ENSG00000007312.8	CD79B	0.05	0.07	0.04	0.38	0.21	0.22	0.04	0.21	0.1	0.03	0.02	0.2	0.06	0.05	0.31	0.33	0.03	0	10.23	0	0.11	0.09	0.36	0.17	0.01	0.15	0.01	0.15	0.21	0.08	1.35	0.02	0.29	0.09	0.04	0.08	0.69	0.78	0.15	0.05	0.05	0.02	1.03	3.84	0.78
ENSG00000007402.7	CACNA2D2	0.26	0.21	0.06	0.17	0.08	2.52	0.64	4.29	0.17	0.01	0.12	0.05	0.76	0.75	1.71	0.36	0.22	0.07	1.19	0.78	0.22	1.66	0.53	0.11	0.71	0.1	0.28	8.82	1.21	0.66	0.1	0.6	0.5	0.37	0.48	0.49	0.25	0.53	3.82	0.3	2	0.1	0.2	0.04	0.1
ENSG00000007866.14	TEAD3	5.96	2.17	8.42	5.67	4.35	9.08	4.25	11.6	13.13	0.57	15.24	8.63	35.26	18.94	4.96	8.14	6.8	8.36	6.64	9.13	27.2	9.9	43.78	10.23	4.49	10.73	2.58	16.86	18.57	23.28	17.62	5.55	1.17	12.11	4.17	13.78	2.16	3.69	15.15	2.86	30.02	3.61	3.3	2.89	8
ENSG00000007908.11	SELE	0	0	0	0	0.01	0	0.03	0	0	0	0	0.01	0	0	0	0	0	0	0	0.05	0	0	0	0.02	0.04	0.02	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0.02	0
ENSG00000007952.13	NOX1	0	0.31	0	0	0.03	0.11	0.7	0.05	0.03	0.01	0.02	0.01	0	16.97	0.01	0.02	0.01	0	0	0.01	0.11	0.02	0.07	10.01	0.03	0.01	0.11	0	0.02	0.02	0.01	0.02	0.04	0.02	0.04	0.04	0.02	0	0.06	0.01	0	0.01	0	0.04	0.06
ENSG00000007968.6	E2F2	0.73	1.8	2.29	9.11	0.69	6.24	2.75	11.43	7.19	3.47	2.1	0.96	1.57	1.33	5.84	11.99	3.7	1.11	5.51	4.59	3.98	3.35	17.75	2.85	15.75	1.69	6.71	13.66	5.27	2.24	2.36	1.35	23.46	4.03	2.49	3.2	5.66	3.34	4.19	2.77	5.71	2.88	6.83	2.72	0.95
ENSG00000008118.5	CAMK1G	0.05	0.06	0	0.01	0	0.28	0.07	0	0	0	0.18	2.4	1.22	0	0.01	0	0.01	0	1.4	0	0.05	0.25	0.18	0.05	0.02	0.1	0	0	0	0.05	0.01	0.12	0	0.69	0.12	0.01	0.09	0.04	0.01	0.01	0	0	0.46	0	0.43
ENSG00000008256.11	CYTH3	19.67	16.65	20.35	9.61	9.97	20.33	37.23	13.1	16.37	3.35	21.58	35.61	88.53	1.4	17.39	13.43	7.29	14.96	91.66	5.64	18.36	13.82	26.85	39.22	7.79	19.09	7.04	33.98	104.19	27.53	62.81	12.91	3.95	49.32	12.87	38.98	66.03	52.85	34.68	5.27	2.81	27.96	47.9	39.09	26.52
ENSG00000008735.10	MAPK8IP2	0.84	1.25	0.88	3.02	0.3	2.49	3.18	4.9	0.82	0.03	1.65	2.32	0.39	0.03	4.61	0.25	0.58	0.34	21.09	1.33	0.15	4.03	1.31	2.13	3.02	0.11	0.37	24.07	1.03	1.4	0.27	0.89	0.03	0.87	2.9	4.29	5.87	11.87	1.05	0.4	1.94	0.6	3.94	1.18	2.34
ENSG00000008838.13	MED24	45.46	37.08	52.34	35.6	26.14	39.55	43.68	80.15	72.44	72.67	42.6	36.17	40.66	45.56	46.22	56.92	33.74	95.69	55.5	21.33	58.94	22.52	32.09	29.63	67.37	35.25	45.08	129.18	26.98	19.47	42.45	34.26	45.43	49.38	73.85	41.04	44.68	38.64	81.49	59.85	63.71	60.81	63.94	38.23	33.42
ENSG00000010310.4	GIPR	0.44	0.46	0.59	0.03	0.58	0.4	1.79	1.79	2.58	0.08	5.16	0.92	4.85	3.83	0.05	23.78	1.17	0.65	0.61	2.24	1.15	4.45	1.01	0.2	1.04	0.1	0.44	6.07	0.18	2.84	0.98	0.6	5.52	0.24	1.77	1.52	0.47	0.5	0.24	0.4	7.48	1.51	1.63	0.61	0.73
ENSG00000010610.5	CD4	0.21	0.16	0.13	0.03	0.06	0.41	0.7	0.33	0.29	51.66	0.05	0.1	0.46	0.32	0.07	0.24	0.03	0.19	0.78	0.07	0	0.27	0.12	0.02	0.34	0.04	0.1	2.37	0.52	0.13	0.33	0.06	1.5	0.29	0.35	0.26	0.04	0.15	0.15	10.02	0.11	0.43	0.1	0.05	0.17
ENSG00000010671.11	BTK	0.09	0.05	0.21	0.22	0.09	0.19	0.02	0.07	0.04	58.17	0.78	0	0.01	0.06	0.07	46.39	0.04	0.04	0.7	0.13	0.13	0.32	0.25	0.01	0.18	0.37	0.1	0.44	0.22	0.1	0.22	0.07	13.95	0.05	0.05	0.03	0.17	0.39	0.16	0.02	0.02	0.01	2.61	0.98	0.09
ENSG00000010810.13	FYN	2.46	1.72	0.38	15.64	5.62	3.45	1.48	7.89	18.97	0.73	30.25	28.14	118.87	12.24	7.29	17.91	41.52	22.47	125.25	0.87	31.51	25.92	7.14	95.8	5.03	5.47	0.17	8.36	24.25	10.88	41.65	7.93	1.48	76.61	11.75	14.37	133.39	34.85	21.61	153.53	0.74	118.43	52.91	127.81	31.89
ENSG00000011465.12	DCN	0.07	0.09	0.31	0.82	0.52	0.28	0.97	0.1	0.09	0.13	0.75	1.21	190.45	0.1	1.36	0.18	0.02	0.44	3.22	0.03	0.08	0.03	0.43	0.51	0.12	0.01	0.35	8.02	0.05	0.01	0	0.09	0.07	2.17	0.15	3.87	0.85	23.53	0.14	0.19	0.15	0.04	0.46	1.92	1.3
ENSG00000011485.10	PPP5C	45.11	61.18	41.76	76.18	38.17	60.51	78.92	107.51	81.35	65.48	49.43	46.49	41.94	114.12	78.71	74.59	68.5	69.06	67.34	84.46	86.27	41.76	80.94	76.55	56.16	79.61	74.47	68.14	38.59	78.82	88.59	38.24	68.05	79.33	99.88	98.15	67.1	59.85	84.13	93.32	63.68	61.44	111.46	87.07	54.35
ENSG00000011566.10	MAP4K3	13.94	17.39	23.6	6.66	17.68	20.57	14.4	14.53	13.27	2.08	16.33	7.71	17.56	8.56	23.19	13.11	13.53	11.7	17.13	12.05	13.88	10.89	16.82	14.89	15.12	20.6	6.21	20.18	20.51	18.39	11.69	14.13	2.65	6.27	14.05	9.68	26.4	19.41	31.1	10.39	8.81	14.29	35.17	11.04	21.68
ENSG00000012124.10	CD22	2.4	0.14	0.13	0.13	0.21	1.02	0.06	3.19	0.19	0.02	0.41	3.41	0.17	0.06	0.67	4.6	0.02	0	5.57	1.73	6.93	2.3	14.57	0.18	0.09	1.26	0.05	0.06	0.04	0.1	0.25	0.15	0.01	0.07	0.83	0.47	6.87	3.4	0.07	0.13	0.52	0.08	2	10.63	0.62
ENSG00000012211.8	PRICKLE3	3.5	5.26	5.42	6.96	3.42	4.46	4.39	10.01	11.94	3.09	3.37	12.19	5.76	7.73	6.44	14.59	9.53	5.83	7.53	9.33	4.61	10.47	6.67	5.58	5.33	3.87	15.83	19.79	4.83	10.09	2.98	5.34	4.08	4.9	4.87	6.18	4.81	24.07	5.67	10.34	8.5	5.59	12.38	9.76	8.01
ENSG00000015285.6	WAS	0.32	0.1	0.15	0.29	0.2	1.27	0.55	0.09	0.49	41.31	0.13	0.35	0.12	0.65	0.36	6.4	1.17	0.05	0.28	0.64	0.98	0.46	0.53	0.15	0.47	0.26	0.19	1.29	0.79	0.44	0.11	0.25	51.01	0.43	0.39	0.12	0.24	0.12	0.18	0.5	0.4	0.65	0.13	0.49	0.34
ENSG00000015475.14	BID	58.16	41.31	39.52	61.54	67.89	82.11	51.76	56.19	87.58	62.38	47.78	31.65	43.19	45.1	9.62	48.8	42.46	22.02	29.94	26.62	40.21	43.3	120.38	45.06	11.76	59.15	32.68	37.02	130.23	73.3	42.5	27.05	16.66	45.73	62.42	42.37	39.23	25.95	15.91	33.08	36.39	23.36	36.87	24.14	67.22
ENSG00000016402.8	IL20RA	0.01	0.02	0.04	0.05	0.12	0.12	1.45	0.39	3.75	0.01	0.14	0.01	0.03	4.51	0.01	0.17	17.19	0	0.02	0.43	0.12	0	5.82	0.03	0.1	0.03	0.04	0.06	1.9	0.17	0.01	1.4	0	0.2	0.02	0.03	0.05	0.1	0.09	15.73	8.92	0.12	0.03	0.15	0.03
ENSG00000017427.11	IGF1	0	0.05	0.03	0.2	0	0.03	0.19	0.01	0.01	0.02	0.05	0	0	0	0.47	27.27	0.1	0.01	0.08	0	0	0.12	0.08	0.12	0.06	0.02	0.06	0.03	3.27	0.09	0	0	1.99	0	0.01	0.01	0.24	7.18	0.11	0.29	0	0.09	0.48	0.17	0
ENSG00000017797.7	RALBP1	17.71	24.28	46.55	52.37	44.6	60.61	32.42	47.17	42.01	30.45	67.05	37.13	36.13	43.45	27.83	38.74	9.2	42.65	21.56	18.1	42.92	36.49	78.46	20.03	33.35	28.21	19.12	73.56	53.96	25.78	58.16	43.56	29.72	41.56	27.91	19.5	18.52	24.61	64.02	22.16	18.72	44.01	18.11	17.64	29.45
ENSG00000018408.10	WWTR1	96.52	53.55	147.13	38.39	102.68	29.68	23.02	32.63	5.15	0.35	22.19	40.78	46.8	0.17	258.34	0.12	3.67	21.56	144.89	5.93	43.46	140.21	45.59	7.57	21.87	59.68	34.32	11.36	48.21	26.19	8.63	24.28	0.17	12.46	24.6	41.37	202.5	105.27	146.94	5.04	18.44	112.03	48.51	354.43	138.74
ENSG00000018625.10	ATP1A2	0.09	0.05	0.14	0	0.02	0.02	0.23	0	0.05	0	0.03	4.6	0.06	0	0.05	0.04	0	0	0.01	0.02	0.04	0	0.1	0.03	0	0.18	0.07	0.09	0.26	0.09	0	0.08	0.08	0	0.04	0.14	0.02	0	0.04	0	0	0.57	0	0	0.04
ENSG00000019549.4	SNAI2	4.07	0.62	0.17	48.35	1.58	2.66	2.58	0.39	0.06	0.09	8.22	47.37	154.94	0.04	0.28	0.06	0.03	74.89	31.64	0.12	22.23	9.01	0.22	12.05	0.42	3.9	1.43	0.12	0.07	0.04	3.8	13.12	0.45	11.24	13	27.07	82.02	114.34	31.4	3.91	0.03	5.52	50.94	50.38	11.91
ENSG00000019991.11	HGF	0.15	0.12	0.23	0.04	0.62	2.02	0.54	0.25	0.14	0.55	0.11	0.04	0.23	0.16	0.5	0.01	0.13	0.07	0.06	0.04	0.06	0.05	0.07	0.02	2.02	0.01	0.07	4.27	0.18	0.03	0.02	0.37	5.68	0.31	83.05	0.02	0.07	0.03	0.06	0.02	0.04	0.13	0.02	0.88	0.01
ENSG00000022267.12	FHL1	56.1	12.97	11.77	63.84	44.95	21.82	7.23	9.24	0.15	1.09	21.43	65.88	1080.8	0.26	3.66	1.21	0.1	0.08	0.81	1.48	2.69	7.24	1.33	36.41	151.54	3.37	5.62	33.03	6.99	7.32	87.33	40.68	10.41	25.27	49.5	63.95	2.04	11.13	97.26	1.37	0.08	50.67	0.48	13.03	14.28
ENSG00000023445.9	BIRC3	6.71	26.12	13.79	3.72	56.62	73.27	80	1.65	3.28	0.72	9.37	5.97	17.13	1.25	14.41	0.63	1.92	23.09	1.68	0.06	16.92	8.33	12.6	8.18	79.3	31.56	0.57	0.46	0.4	2.84	0.73	3.37	2.31	15.02	50.45	2.26	0.36	0.7	4.05	1.58	1.55	3.21	0.28	0.35	22.34
ENSG00000025039.10	RRAGD	2.87	1.06	6.85	0.24	1.44	4.46	0.17	7.27	5.66	9.13	3.91	3.35	6.92	0	0.6	0.59	0.01	0.01	28.74	1.23	2.3	1.09	6.14	0.68	0.45	2.5	0.56	23.73	7.37	3.74	13.47	0.29	2.11	25.62	0.21	24.27	31.78	33.94	5.83	1.35	1.88	11.39	19.95	16.3	0.35
ENSG00000026103.15	FAS	23.85	14.13	62.59	11.74	23.93	14.6	1.03	14.25	18.66	3.12	4.58	11.67	11.24	1.88	23.6	0.47	6.72	14.75	9.91	2.41	2.86	4.01	1.6	51.7	9.65	0.32	6.69	2.69	4.8	8.43	6.32	2.39	5.13	1.05	12.91	0.02	1.51	2.9	4.64	0.38	12.85	9.38	9.07	8.48	32.32
ENSG00000027697.8	IFNGR1	31.75	32.44	17.24	70.87	40.19	26.11	194.44	24.54	38.85	25.05	33.87	9.6	49.02	41.02	21.12	27.98	37.92	28.41	21.54	14.81	20.28	15.98	128.52	36.37	27.34	16.63	14.03	20.18	31.26	17.16	21.48	14.74	12.38	32.51	35.75	44.4	27.67	15.66	60.29	17.33	10.08	28.38	16.3	15.29	22.44
